name,address,category,lat,lon,query
МТБАНК,"Витебск, просп. Черняховского, 6",,55.181074,30.202761,банкомат
Белгазпромбанк,"Витебск, ул. Чкалова, 35, этаж 2",,55.162331,30.207327,банкомат
Беларусбанк,"Витебск, Замковая ул., 30",,55.192455,30.205838,банкомат
Приорбанк,"Витебск, просп. Строителей, 11А",,55.171057,30.214774,банкомат
Беларусбанк,"Витебск, просп. Строителей, 12",,55.171448,30.222943,банкомат
Беларусбанк,"ул. Чкалова, 56, магазин Мясная Лавка",,55.158172,30.214451,банкомат
БелВЭБ,"просп. Строителей, 2",,55.173997,30.20058,банкомат
Беларусбанк,"Московский просп., 70",,55.178294,30.233203,банкомат
Беларусбанк,"ул. Терешковой, 3, ПУ Витебскгаз Проходная ПУ Витебскгаз",,55.177608,30.247054,банкомат
Беларусбанк,"Гончарная ул., 11, этаж 1",,55.183029,30.19157,банкомат
Банк ВТБ,"Московский просп., 16",,55.181728,30.21118,банкомат
Банк ВТБ,"ул. Чкалова, 35, этаж 2",,55.162323,30.207324,банкомат
Беларусбанк,"Московский просп., 60А, магазин Евроопт",,55.179916,30.222376,банкомат
Беларусбанк,"ул. Чкалова, 34, Расчетный центр №4",,55.167714,30.212821,банкомат
Белинвестбанк,"ул. Чкалова, 27, Чкаловский рынок",,55.167207,30.210355,банкомат
Беларусбанк,"Бешенковичское ш., 3, ТЦ Корона",,55.16016,30.168458,банкомат
Беларусбанк,"Московский просп., 8А, Витебское областное управление №200",,55.183629,30.206924,банкомат
Белагропромбанк,"просп. Строителей, 12, Центр банковских услуг №202",,55.171184,30.221952,банкомат
Белинвестбанк,"ул. Воинов-Интернационалистов, 37, этаж 2",,55.15883,30.224288,банкомат
Белагропромбанк,"просп. Строителей, 3, корп. 2",,55.170618,30.203897,банкомат
Белинвестбанк,"ул. Чкалова, 35, этаж 2",,55.162225,30.207218,банкомат
Белинвестбанк,"Московский просп., 9Б",,55.181892,30.205613,банкомат
Беларусбанк,"ул. Ленина, 10Б, Витебское областное управление №200",,55.187724,30.202832,банкомат
Белорусский народный банк,"просп. Строителей, 15В, этаж 1",,55.17029,30.220096,банкомат
Белгазпромбанк,"ул. Максима Горького, 51, корп. 1, этаж 1",,55.173937,30.170042,банкомат
Белгазпромбанк,"ул. Генерала Белобородова, 2А",,55.186826,30.189658,банкомат
Белинвестбанк,"ул. Воинов-Интернационалистов, 23",Банк,55.161579,30.219891,банкомат
"Белинвестбанк, банкомат","ул. Богдана Хмельницкого, 24",,55.186112,30.207915,банкомат
Беларусбанк,"Смоленская ул., 9А",,55.18523,30.232731,банкомат
БелВЭБ,"ул. Чкалова, 35, этаж 2",,55.162939,30.207623,банкомат
Сбер Банк,"Витебск, проспект Строителей",,55.169987,30.227384,банкомат
МТБАНК,"просп. Строителей, 15В, floor 1",,55.170447,30.220327,банкомат
"Белинвестбанк, банкомат","Московский просп., 33",,55.177631,30.227037,банкомат
Белинвестбанк,"ул. Воинов-Интернационалистов, 23, УРМ ЦРБ дирекции ОАО «Белинвестбанк» по Витебской области",,55.161574,30.219939,банкомат
Paritetbank,"Московский просп., 12",,55.182367,30.207412,банкомат
Белагропромбанк,"ул. Димитрова, 31, Центр банковских услуг №202",,55.187715,30.190652,банкомат
Белагропромбанк,"Московский просп., 31А, Центр банковских услуг №202/9",,55.178595,30.223293,банкомат
Белгазпромбанк,"просп. Строителей, 1Г",,55.172555,30.202613,банкомат
Белгазпромбанк,"Московский просп., 70",,55.178261,30.233444,банкомат
Белорусский народный банк,"ул. Чкалова, 19, корп. 1",,55.172952,30.212773,банкомат
Беларусбанк,"Зеленогурская ул., 14, библиотека",,55.163715,30.185505,банкомат
Белинвестбанк,"ул. Чкалова, 35, этаж 1",,55.162212,30.207186,банкомат
Белагропромбанк,"ул. Ленина, 10А, ЦБУ № 202/1",,55.187544,30.203976,банкомат
Белинвестбанк,"ул. Чкалова, 49",,55.158612,30.212426,банкомат
АТМ Белинвестбанк,"ул. Чкалова, 34, этаж 1",,55.167748,30.212132,банкомат
Белинвестбанк Банкомат № 56,"Московский просп., 60А",,55.179972,30.222447,банкомат
Беларусбанк,"ул. Генерала Маргелова, 1, отдел №200/2031",Банк,55.160981,30.209137,банкомат
Белагропромбанк,"ул. Правды, 30, этаж 1",,55.188017,30.216357,банкомат
БелВЭБ,"просп. Победы, 15",,55.170002,30.22366,банкомат
Белинвестбанк,"Московский просп., 86",,55.176224,30.247389,банкомат
Банк РРБ,"Московский просп., 8",,55.183658,30.206281,банкомат
Paritetbank,"пр. Гоголя, 11, этаж 1",,55.186484,30.202869,банкомат
Приорбанк,"Бешенковичское ш., 3, ТЦ ""Корона""",,55.159907,30.167893,банкомат
Белгазпромбанк,"ул. Правды, 25, корп. 1",,55.188121,30.213359,банкомат
Беларусбанк,"Московский просп., 45Б, отдел №200/2029",,55.176229,30.237396,банкомат
Сбер Банк,"просп. Строителей, 15В, области, офис №254 ТриО Региональной дирекции №200 по Витебской",,55.170372,30.220992,банкомат
Белинвестбанк,"Московский просп., 80, корп. 1",,55.176625,30.243293,банкомат
Беларусбанк,"ул. Максима Горького, 75, отдел №200/2009",,55.173534,30.149915,банкомат
Белагропромбанк,"Московский просп., 51А, корп. 1",,55.175027,30.245635,банкомат
Белагропромбанк,"просп. Строителей, 12, Центр банковских услуг №202/3",,55.171128,30.22265,банкомат
Беларусбанк,"ул. Правды, 39А, магазин Витебские продукты",,55.185347,30.220864,банкомат
Беларусбанк,"Гончарная ул., 11, ТРЦ РАМ",,55.182778,30.191667,банкомат
Белинвестбанк,"ул. Максима Горького, 72",Банк,55.17294,30.151598,банкомат
Белинвестбанк,"ул. Генерала Белобородова, 2А",,55.186453,30.190158,банкомат
МТБанк,"просп. Строителей, 15В",,55.17028,30.22009,банкомат
ATM Белинвестбанк,"ул. Софьи Панковой, 1А",,55.187168,30.25216,банкомат
Приорбанк,"1-я Пролетарская ул., 6, ""ПК Квант""",,55.17411,30.150193,банкомат
