name,address,category,lat,lon,query
Технобанк,"Могилёв, 2-й Крутой пер., 3Б, этаж 1",Банк,53.901228,30.333135,отделение банка
Беларусбанк,"Могилёв, просп. Шмидта, 3, корп. 1",,53.87428,30.317169,банкомат
БелВЭБ,"Могилёв, просп. Шмидта, 45/168",,53.827151,30.334427,банкомат
Белагропромбанк,"Могилёв, Габровская ул., 43, этаж 1",Банк,53.871831,30.359732,отделение банка
Альфа-Банк,"Могилёв, Славгородское ш., 165А, ТЦ Авансум",,53.841116,30.390495,банкомат
Беларусбанк,"Могилёв, ул. Мовчанского, 53, этаж 2",Банк,53.877454,30.374592,отделение банка
Беларусбанк,"Могилёв, ул. Островского, 66, отдел №700/7017",Банк,53.877725,30.337263,отделение банка
Беларусбанк,"Могилёв, ул. Златоустовского, 34, отдел №700/7032",Банк,53.882584,30.366453,отделение банка
Белинвестбанк,"Могилёв, ул. Островского, 15",Банк,53.877769,30.339386,отделение банка
Технобанк,"Могилёв, ул. Терёхина, 9, этаж 1",Банк,53.88192,30.367238,отделение банка
Беларусбанк,"Могилёв, ул. Симонова, 71",Банк,53.863189,30.311233,отделение банка
Беларусбанк,"Могилёв, Витебский просп., 4, Могилёвский автомобильный завод им. Кирова",,53.883834,30.405583,банкомат
Беларусбанк,"Могилёв, ул. Фатина, 4, этаж 1",,53.881782,30.375583,банкомат
Белагропромбанк,"Могилёв, ул. Академика Павлова, 3, ОАО ""Бабушкина крынка""",,53.864644,30.378336,банкомат
Беларусбанк,"Могилёв, ул. Калиновского, 31, отдел №700/7016",Банк,53.929299,30.261596,отделение банка
Альфа-Банк,"ул. Островского, 15, Могилёв, этаж 1",Банк,53.877986,30.339263,отделение банка
Беларусбанк,"Могилёв, ул. Челюскинцев, 76, Удаленное рабочее, место №700/7035",Банк,53.89189,30.296069,отделение банка
Беларусбанк,"Могилёв, ул. 30 лет Победы, 3, отдел №700/7018",Банк,53.931711,30.364416,отделение банка
Беларусбанк,"агрогородок Буйничи, Легендарная ул., 6, Здание Общежитие В левом углу здания",,53.861842,30.250074,банкомат
Беларусбанк,"Могилёв, ул. Челюскинцев, 136",,53.885793,30.274732,банкомат
Белинвестбанк,"Могилёв, ул. Челюскинцев, 139",,53.887757,30.28148,банкомат
Банк РРБ,"Могилёв, ул. Челюскинцев, 136",,53.885808,30.274596,банкомат
Приорбанк,"Могилёв, ул. Мельникова, 4А, магазин «Хозтовары»",,53.886322,30.274477,банкомат
Белинвестбанк,"Могилёв, ул. Гагарина, 79, этаж 1",,53.879889,30.317442,банкомат
Беларусбанк,"Могилёв, ул. Челюскинцев, 41, отдел №700/7013",Банк,53.893559,30.311833,отделение банка
Белинвестбанк,"Могилёв, ул. Симонова, 2В, этаж 1",,53.874061,30.313589,банкомат
"Банк БелВЭБ, банкомат","Могилёв, ул. Гагарина, 79",,53.879819,30.317398,банкомат
Белгазпромбанк,"Могилёв, бул. Непокорённых, 37Б",,53.872919,30.330203,банкомат
Белинвестбанк,"Могилёв, бул. Непокорённых, 43Б",,53.871505,30.331307,банкомат
Белгазпромбанк,"Могилёв, ул. Чайковского, 11, этаж 1",,53.878962,30.332746,банкомат
Белорусский народный банк,"Могилёв, ул. Гагарина, 79",,53.880151,30.317153,банкомат
Белинвестбанк,"Могилёв, ул. Островского, 5, этаж 1",,53.874981,30.333103,банкомат
Беларусбанк,"Могилёв, бул. Непокорённых, 65, магазин Экран",,53.869958,30.337318,банкомат
Беларусбанк,"Могилёв, бул. Непокорённых, 75, магазин Квартал вкуса",,53.867384,30.338038,банкомат
Альфа-Банк,"Могилёв, ул. Островского, 15",,53.877969,30.339261,банкомат
Белинвестбанк,"Могилёв, Габровская ул., 32",,53.868936,30.348886,банкомат
Белагропромбанк,"Могилёв, Габровская ул., 43, этаж 1",,53.871911,30.359957,банкомат
Белинвестбанк,"Могилёв, Пушкинский просп., 24, этаж 1",,53.874882,30.343503,банкомат
Банк Решение,"Могилёв, ул. Островского, 5, этаж 1",,53.874496,30.33276,банкомат
Белинвестбанк,"Могилёв, Пушкинский просп., 39",,53.877947,30.337751,банкомат
Белинвестбанк,"ул. Симонова, 2В, этаж 1",,53.874061,30.313589,банкомат
Беларусбанк,"Пушкинский просп., 69Б, этаж 1",,53.871003,30.347491,банкомат
Сбер Банк,"Пушкинский просп., 24",,53.874769,30.343914,банкомат
Беларусбанк,"ул. Кутепова, 6, магазин Обжора-1",,53.873028,30.306796,банкомат
Сбербанк,"Пушкинский просп., 24",,53.874644,30.343823,банкомат
Беларусбанк,"просп. Димитрова, 45, магазин 85 Южный",,53.873651,30.375728,банкомат
Беларусбанк,"ул. Златоустовского, 34, отдел №700/7032",,53.882586,30.366502,банкомат
Беларусбанк,"ул. Мовчанского, 6, этаж 1",,53.872446,30.36288,банкомат
Беларусбанк,"просп. Шмидта, 3, корп. 1",,53.87428,30.317169,банкомат
Беларусбанк,"Могилёв, Витебский проспект",,53.881319,30.399204,банкомат
Сбер Банк,"ул. Мовчанского, 40А, магазин ""Евроопт""",,53.877144,30.366244,банкомат
Белгазпромбанк,"ул. Мовчанского, 6, этаж 1",,53.872544,30.363656,банкомат
Банк РРБ,"Пушкинский просп., 24",,53.87482,30.343571,банкомат
Банкомат,"ул. Островского, 1Б",Инфокиоск,53.87161,30.327409,банкомат
Банк ВТБ,"ул. Островского, 5, этаж 1",,53.874501,30.332774,банкомат
Беларусбанк,"ул. Фатина, 4, этаж 1",,53.881782,30.375583,банкомат
Белинвестбанк,"ул. Мовчанского, 2",,53.872523,30.366938,банкомат
Белинвестбанк,"ул. Гагарина, 79, этаж 1",,53.879889,30.317442,банкомат
"Банк БелВЭБ, банкомат","ул. Гагарина, 79",,53.879819,30.317398,банкомат
Банк ВТБ,"Габровская ул., 43, этаж 1",,53.871904,30.359908,банкомат
Приорбанк,"ул. Гагарина, 79, этаж 1",,53.879811,30.317411,банкомат
Беларусбанк,"Пушкинский просп., 35Б",,53.880253,30.33611,банкомат
Беларусбанк,"ул. Академика Павлова, 2, корп. 8",,53.865776,30.38352,банкомат
Беларусбанк,"ул. Мовчанского, 6, этаж 1",,53.872575,30.363577,банкомат
Белинвестбанк,"ул. Мовчанского, 53",,53.878002,30.373851,банкомат
Белинвестбанк,"ул. Островского, 1В",,53.871838,30.328696,банкомат
Беларусбанк,"ул. Островского, 66",,53.877683,30.33719,банкомат
Белагропромбанк,"ул. Академика Павлова, 3, ОАО ""Бабушкина крынка""",,53.864644,30.378336,банкомат
Белгазпромбанк,"ул. Терёхина, 9, этаж 2",,53.88202,30.367886,банкомат
Белорусский народный банк,"ул. Гагарина, 79",,53.880151,30.317153,банкомат
Технобанк,"ул. Островского, 5",,53.8748,30.333242,банкомат
Сбер Банк,"ул. Островского, 5",,53.8748,30.333242,банкомат
Приорбанк,"ул. Мовчанского, 6, этаж 1",,53.872341,30.362574,банкомат
БелВЭБ,"бул. Непокорённых, 37Б",,53.873013,30.33013,банкомат
Приорбанк,"Пушкинский просп., 12, этаж 1",,53.878671,30.338638,банкомат
Белинвестбанк,"Габровская ул., 11, этаж 1",,53.855671,30.325345,банкомат
Сбер Банк,"ул. Гагарина, 79",,53.880151,30.317153,банкомат
Сбер Банк,"просп. Димитрова, 70А, магазин ""Евроопт""",,53.875912,30.377211,банкомат
Приорбанк,"Пушкинский просп., 12, ТЦ Арбат",,53.878702,30.33882,банкомат
