name,address,category,lat,lon,query
Белинвестбанк,"Гродно, ул. Дзержинского, 2/1",Банк,53.686027,23.834726,отделение банка
Альфа-Банк,"Гродно, ул. Ожешко, 6А",Банк,53.68277,23.833226,отделение банка
Беларусбанк,"агрогородок Обухово, Центральная ул., 4, отдел №400/4071",Банк,53.605398,24.082859,отделение банка
Банк Дабрабыт,"Гродно, Большая Троицкая ул., 1",Банк,53.682882,23.830691,отделение банка
Банк ВТБ,"Гродно, ул. Антонова, 21",Банк,53.674442,23.840611,отделение банка
Беларусбанк,"Гродно, ул. Будённого, 37, этаж 3",Банк,53.686398,23.848403,отделение банка
Альфа-Банк,"Гродно, ул. Советских Пограничников, 110А, этаж 1",,53.671791,23.798991,банкомат
Беларусбанк,"Гродно, ул. Дзержинского, 113А",,53.705395,23.840934,банкомат
Белагропромбанк,"Гродно, ул. Советских Пограничников, 110, этаж 1",,53.671066,23.799832,банкомат
Беларусбанк,"Гродно, ул. Фолюш, 15/204А, отдел №400/4016",Банк,53.661878,23.781963,отделение банка
Беларусбанк,"Гродно, ул. Фолюш, 15/193, отдел №400/4015",Банк,53.66629,23.777542,отделение банка
Белагропромбанк,"Гродно, ул. Советских Пограничников, 110, здание банка",Банк,53.67111,23.79969,отделение банка
Белагропромбанк,"Гродно, ул. Соломовой, 137",Банк,53.659187,23.781008,отделение банка
Беларусбанк,"Гродно, ул. Суворова, 308, этаж 1",,53.647468,23.780906,банкомат
Приорбанк,"Гродно, ул. Соломовой, 131",,53.660353,23.78169,банкомат
Сбер Банк,"Гродно, ул. Лизы Чайкиной, 45, аптека № 134",,53.665497,23.789141,банкомат
Белгазпромбанк,"Гродно, ул. Соломовой, 112, этаж 1",,53.656485,23.780789,банкомат
Приорбанк,"Гродно, ул. Славинского, 4/63, этаж 1",,53.644523,23.821276,банкомат
Сбер Банк,"Гродно, ул. Победы, 47, Гипермаркет ""Евроопт""",,53.650762,23.832166,банкомат
Беларусбанк,"Гродно, ул. Славинского, 4/63",,53.64439,23.821486,банкомат
Беларусбанк,"Гродно, просп. Клецкова, 3А, магазин Ника Справа от входа",,53.648062,23.84029,банкомат
Белгазпромбанк,"Гродно, просп. Клецкова, 2А",,53.6488,23.836399,банкомат
Белинвестбанк,"Гродно, просп. Клецкова, 21Б",,53.647055,23.846103,банкомат
Беларусбанк,"Гродно, Индурское ш., 8, магазин Нарочь",,53.643936,23.841141,банкомат
Белгазпромбанк,"Гродно, ул. Кабяка, 8Б, Торговый центр",,53.645069,23.847784,банкомат
Беларусбанк,"Гродно, просп. Янки Купалы, 65, магазин Солнечный",,53.653451,23.844882,банкомат
Технобанк,"Гродно, просп. Янки Купалы, 87, этаж 2",Банк,53.649684,23.856166,отделение банка
Альфа банк,"Гродно, просп. Янки Купалы, 87, этаж 3",,53.649599,23.853781,банкомат
Беларусбанк,"Гродно, ул. Кабяка, 13, этаж 1",,53.643565,23.851382,банкомат
Белинвестбанк,"Гродно, ул. Кабяка, 13, этаж 1",,53.643549,23.851441,банкомат
Банк Решение,"Гродно, ул. Кабяка, 23",,53.64456,23.858431,банкомат
Приорбанк,"Гродно, просп. Янки Купалы, 87, этаж 1",,53.650219,23.855298,банкомат
Белгазпромбанк,"Гродно, просп. Янки Купалы, 87, этаж 1",,53.649837,23.855971,банкомат
Банк ВТБ,"Гродно, просп. Янки Купалы, 87, этаж 1",,53.649856,23.856004,банкомат
Беларусбанк,"Гродно, ул. Кабяка, 41",,53.646438,23.866742,банкомат
Банк БелВЭБ,"Гродно, просп. Янки Купалы, 87, этаж 1",,53.649877,23.856044,банкомат
"Беларусбанк, банкомат","Гродно, просп. Янки Купалы, 87, этаж 1",,53.649863,23.856021,банкомат
Белинвестбанк,"Гродно, просп. Янки Купалы, 87, этаж 3",,53.649587,23.853781,банкомат
Белгазпромбанк,"ул. Кабяка, 26, этаж 1",,53.647231,23.86493,банкомат
Альфа-Банк,"просп. Янки Купалы, 87, Банкомат в, ТРЦ Тринити",,53.649866,23.854538,банкомат
Сбер Банк,"ул. Победы, 47, Гипермаркет ""Евроопт""",,53.650762,23.832166,банкомат
"Белинвестбанк, банкомат","просп. Янки Купалы, 87, этаж 3",,53.6496,23.853796,банкомат
Беларусбанк,"ул. Кабяка, 10Б",,53.64517,23.84853,банкомат
Беларусбанк,"просп. Янки Купалы, 65, магазин Солнечный",,53.653451,23.844882,банкомат
Белагропромбанк,"Индурское ш., 30, Рынок ""Южный""",,53.622174,23.865425,банкомат
Беларусбанк,"Индурское ш., 8, магазин Нарочь",,53.643936,23.841141,банкомат
Белгазпромбанк,"просп. Клецкова, 2А",,53.6488,23.836399,банкомат
Технобанк,"просп. Янки Купалы, 87, этаж 2",,53.649735,23.856156,банкомат
Беларусбанк,"ул. Великая Ольшанка, 13, этаж 1",,53.622353,23.815503,банкомат
Беларусбанк,"просп. Янки Купалы, 24",,53.658262,23.840009,банкомат
Беларусбанк,"ул. Огинского, 35, этаж 1",,53.620699,23.806774,банкомат
Приорбанк,"просп. Клецкова, 3Б, ТЦ ""Мегахенд""",,53.648007,23.839766,банкомат
Беларусбанк,"ул. Труханова, 12В, Железнодорожный вокзал Зал ожидания",,53.649722,23.854167,банкомат
Приорбанк,"ул. Славинского, 4/63, этаж 1",,53.644523,23.821276,банкомат
