name,address,category,lat,lon,query
Беларусбанк,"Гомель, Добрушская ул., 5/3, УЗ Гомельская туббольница",,52.40451,31.050224,банкомат
Беларусбанк,"Гомель, Могилёвская ул., 16/9, РУП Гомельский завод литья и нормалей",,52.455826,30.920159,банкомат
Беларусбанк,"агрогородок Урицкое, ул. Н.Г. Ятченко, 3, отдел №300/3069",Банк,52.467842,30.804965,отделение банка
Беларусбанк,"Гомель, Речицкий просп., 45, отдел №300/3005",Банк,52.409371,30.935332,отделение банка
Белинвестбанк,"Гомель, ул. Д.Н. Пенязькова, 59",,52.396314,30.953216,банкомат
Беларусбанк,"Гомель, ул. Братьев Лизюковых, 5, УЗ ""Гомельская областная клиническая больница""",,52.402229,30.951552,банкомат
Беларусбанк,"Гомель, ул. Братьев Лизюковых, 5, отдел 300/3016",Банк,52.401913,30.952163,отделение банка
Беларусбанк,"Гомель, ул. Достоевского, 3/45, ОАО Гомельдрев",,52.385783,31.021207,банкомат
Белинвестбанк,"Гомель, ул. Ильича, 87А",,52.382787,31.028699,банкомат
Белагропромбанк,"Гомель, ул. Ильича, 32, ""БелДрев-Вит"", магазин ООО",,52.389597,31.030026,банкомат
Белинвестбанк,"Гомель, ул. Ильича, 30",,52.391386,31.030119,банкомат
Белагропромбанк,"Гомель, ул. 11 Июля, 5, Центр банковских услуг 301/2",,52.396032,31.026074,банкомат
Банк РРБ,"Гомель, ул. Ильича, 59А, ТЦ Полесье",,52.387945,31.029216,банкомат
Беларусбанк,"Гомель, ул. Димитрова, 82, отдел №300/3063",Банк,52.390207,31.031868,отделение банка
Белагропромбанк,"Гомель, ул. 11 Июля, 5",Банк,52.396048,31.026125,отделение банка
Белинвестбанк,"Гомель, ул. Ильича, 59А",Банк,52.387687,31.029061,отделение банка
Беларусбанк,"Гомель, ул. Урицкого, 36, отдел №300/3064",Банк,52.395732,31.032201,отделение банка
Белинвестбанк,"Гомель, ул. Ильича, 59А",,52.387663,31.029094,банкомат
Белинвестбанк,"Гомель, ул. Ильича, 87А",,52.382787,31.028683,банкомат
Беларусбанк,"Гомель, ул. Свердлова, 3Б, магазин Ипуть",,52.40156,31.036549,банкомат
Беларусбанк,"Гомель, Крестьянская ул., 16",,52.428175,31.012534,банкомат
Белинвестбанк,"Гомель, Советская ул., 7, Дирекция по Гомельской области ОАО “Белинвестбанк”",,52.426629,31.014067,банкомат
Беларусбанк,"Гомель, ул. Мазурова, 22, магазин Евроопт",,52.448731,31.020877,банкомат
Белинвестбанк,"Гомель, ул. Мазурова, 79, этаж 1",,52.455257,31.025525,банкомат
Сбер Банк,"Гомель, Химзаводская ул., 5, Проходная заводоуправления ОАО ""Гомельский химический завод""",,52.434099,30.866949,банкомат
Белинвестбанк,"Гомель, ул. Барыкина, 321Б",,52.427738,30.905883,банкомат
Атм Белинвестбанк,"Гомель, ул. Косарева, 18",,52.406987,30.916555,банкомат
Приорбанк,"Гомель, ул. Косарева, 18",,52.406992,30.91651,банкомат
Приорбанк,"Гомель, Базовая ул., 8/1, этаж 1",,52.430717,30.915136,банкомат
Приорбанк,"Гомель, ул. Барыкина, 321Б",,52.427673,30.905777,банкомат
Приорбанк,"Гомель, Междугородняя ул., 7, подъезд 2",,52.420012,30.922072,банкомат
Белинвестбанк,"Гомель, Междугородняя ул., 7А, подъезд 1",,52.420542,30.923182,банкомат
