name,address,category,lat,lon,query
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 11, Центр банковских услуг №532/35",,53.850789,27.427425,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 101, ТЦ ""Материк""",,53.85089,27.419565,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 32, Центр банковских услуг №539",,53.851601,27.432456,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 12, магазин ""Евроопт""",,53.85141,27.427695,банкомат
БелВЭБ,"Минск, просп. Дзержинского, 126, ТЦ ""ProStore""",,53.846849,27.471776,банкомат
Приорбанк,"Минский район, Щомыслицкий сельсовет, 32, корп. 4, ТЦ DiaMond city",,53.849615,27.433588,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, Щомыслица, Брестская улица, 75, ""Живинка"", магазин №26 ОАО",,53.82552,27.447458,банкомат
Белгазпромбанк,"Минск, просп. Дзержинского, 91, этаж 1",,53.859273,27.481858,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 14, корп. 1, №2, магазин ""ДорОРС""",,53.853705,27.426051,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 28, Здание универмага",,53.82645,27.436166,банкомат
Банк РРБ,"Минск, просп. Дзержинского, 106, ТЦ Магнит",,53.85809,27.47666,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 79, Центр банковских услуг №567/80",,53.850093,27.412226,банкомат
Беларусбанк,"Минск, ул. Наполеона Орды, 37, этаж 1",,53.847385,27.488094,банкомат
Технобанк,"Минск, просп. Газеты Звязда, 53, этаж 1",,53.859515,27.462706,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 62, Центр банковских услуг №514",,53.85039,27.411696,банкомат
"Белинвестбанк, банкомат","Минск, просп. Газеты Звязда, 53, этаж 1",,53.859345,27.462385,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, Щомыслица, Здание центра, 17 километр",,53.822804,27.452255,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 115, Здание ЭКТБ",,53.847373,27.415478,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 7, Здание Управления Следственного комитета РБ по г.Минску",,53.850629,27.41819,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 60/4",,53.850104,27.410887,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 9, Центр банковских услуг №526",,53.820598,27.444951,банкомат
Белагропромбанк,"Минск, ул. Громова, 32/4, ТЦ ""ДиаМант сити""",,53.855749,27.447098,банкомат
Белинвестбанк,"Минск, ул. Космонавтов, 5А, этаж 1",,53.85341,27.466925,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 14, ОАО ""Слуцкий сыродельный комбинат""",,53.858644,27.421604,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 46, Заводоуправление Минского Мясокомбината",,53.851793,27.406449,банкомат
МТБанк,"Минск, просп. Дзержинского, 122, Помещение РКЦ №65",,53.850203,27.473729,банкомат
Белагропромбанк,"д. Богатырёво, Садовая ул., 13, Центр банковских услуг №519",,53.84536,27.399586,банкомат
Банк Решение,"Озерцо, Менкоўскі тракт, 2",,53.855034,27.420619,банкомат
Белагропромбанк,"д. Богатырёво, Минская ул., 4, магазин ""Санта""",,53.845057,27.395203,банкомат
Приорбанк,"Минск, ул. Громова, 20, универсам Соседи",,53.853774,27.444547,банкомат
Белагропромбанк,"Озерцо, ул. Строителей, 12, Универсам",,53.84205,27.396981,банкомат
Приорбанк,"Минск, просп. Дзержинского, 91, этаж 1",,53.859417,27.481847,банкомат
"БСБ банк, банкомат","Минск, ул. Космонавтов, 28",,53.850083,27.456087,банкомат
МТБАНК,"Минск, просп. Дзержинского, 91, этаж 1",,53.859379,27.481949,банкомат
БелВЭБ,"Минск, ул. Космонавтов, 29",,53.849333,27.457213,банкомат
"Белинвестбанк, банкомат","Минск, просп. Газеты Звязда, 53, этаж 1",,53.859134,27.46256,банкомат
Белагропромбанк,"Озерцо, ул. Дзержинского, 8, Центр банковских услуг №531",,53.83983,27.397107,банкомат
Приорбанк,"Минск, ул. Громова, 20, универсам ""Соседи""",,53.8535,27.4444,банкомат
Приорбанк,"Минск, ул. Громова, 20, универсам ""Соседи""",,53.8538,27.4445,банкомат
Приорбанк,"Минск, просп. Дзержинского, 126, Гипермаркет Простор",,53.847363,27.470895,банкомат
Белагропромбанк,"Озерцо, Молодёжная ул., 1, Центр банковских услуг №508/13",,53.841285,27.387199,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 67-4, ТЦ ""Спутник""",,53.847735,27.391385,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 20, Центр банковских услуг №567/81",,53.84782,27.390486,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 134, ТЦ ""Першы Нацыянальны гандлевы дом""",,53.822804,27.401383,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 118/А, Центр банковских услуг №510/4",,53.857778,27.399092,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 75, Центр банковских услуг №563/78",,53.848085,27.388842,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 43, Административное здание ГКСЭ РБ",,53.849248,27.39169,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 65, магазин ""Соседи""",,53.84911,27.389022,банкомат
БелВЭБ,"Минск, просп. Дзержинского, 126",,53.847363,27.470895,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 48, Продовольственный, магазин ""Перекресток""",,53.847851,27.389723,банкомат
Приорбанк,"Минск, просп. Дзержинского, 122, УРМ 101/12 Приорбанк ОАО",,53.851463,27.474407,банкомат
Альфа-Банк,"Минск, просп. Дзержинского, 119, Банкомат в отделении Малиновка",,53.850293,27.476183,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 68А, Центр банковских услуг №521",,53.848059,27.386444,банкомат
Белагропромбанк,"Минск, просп. Дзержинского, 106, ТЦ ""Магнит""",,53.858584,27.476686,банкомат
БелВЭБ,"Минск, просп. Дзержинского, 122",,53.851463,27.47438,банкомат
Приорбанк,"Минск, просп. Дзержинского, 122, ОАО ""Приорбанк""",,53.8515,27.4744,банкомат
БелВЭБ,"Минск, просп. Дзержинского, 122",,53.851428,27.474487,банкомат
Приорбанк,"Минск, просп. Дзержинского, 91, ТЦ Алми",,53.859382,27.482411,банкомат
Альфа-Банк,"Минск, просп. Дзержинского, 119, Банкомат в отделении Малиновка",,53.850293,27.476231,банкомат
Альфа-Банк,"Минск, просп. Дзержинского, 119, Банкомат в отделении Малиновка",,53.850274,27.476199,банкомат
БелВЭБ,"Минск, просп. Дзержинского, 126",,53.846915,27.471698,банкомат
Cash-in Альфа-банк,"Минск, просп. Дзержинского, 119",,53.851084,27.476701,банкомат
Belbohemia,"Минский район, Щомыслицкий сельсовет, 16",Пункт выдачи,53.859486,27.400081,банкомат
Банк Дабрабыт,"ул. Сергея Есенина, 30, этаж 1",Банк,53.851677,27.456021,отделение банка
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 32, корп. 4",Банк,53.84887,27.434317,отделение банка
Беларусбанк,"Слободская ул., 15, отдел №527/447",Банк,53.860634,27.429907,отделение банка
Беларусбанк,"ул. Сергея Есенина, 16, этаж 1",Банк,53.849911,27.462109,отделение банка
Белагропромбанк,"ул. Рафиева, 88А",Банк,53.859876,27.436793,отделение банка
Белагропромбанк,"ул. Наполеона Орды, 6",Банк,53.842732,27.476689,отделение банка
БСБ Банк,"ул. Космонавтов, 29, этаж 1",Банк,53.849486,27.457067,отделение банка
МТБАНК,"просп. Дзержинского, 122, этаж 1",Банк,53.850139,27.473757,отделение банка
Беларусбанк,"просп. Дзержинского, 131, отдел 527/452, этаж 1",Банк,53.844506,27.473935,отделение банка
Белинвестбанк,"ул. Яна Чечота, 11, этаж 1",Банк,53.849399,27.480533,отделение банка
